key,image,label,sentence
2_507,2_507_u,1.0,"  Sophia was discharged, is she here? No, I haven't taken her out of the trunk of the car yet."
2_408,2_408_u,1.0,"  Saucy. I'll be back in two minutes. You are going to leave me like this Knowing you are here, waiting for me, it is kind of exciting isn't it? Okay, but if you are not coming back soon, there is pretty much nothing I can do about it"
3_S01E03_021,3_S01E03_021_u,0.0,"  Why would he announce it so far ahead of the actual rollout? No one does that. He's got to be doing it just to fuck with us, right? I actually think we're okay. The player I gave them was from a retired repository that was audio only. Video compression is a completely different paradigm. What they have is like Pied Piper, but not as good. - People will see that. - Not if they get to market before us. Inferior products win out all the time. Like Jesus over Satan."
2_29,2_29_u,0.0,"  Oh, that's Ross's. Oh...  Oh my God. He remembered. Remembered what? It was like months ago."
2_124,2_124_u,1.0,"  Thirty seconds all the questions we can answer You guys are dead, I am so good in lightning rounds. I majored in lightning rounds, alright! We are gonna destroy you! Wanna bet? I am so confused as to what we have been doing so far."
1_3333,1_3333_u,0.0,"  That's why Leonard does it. Okay, I just have one question. What exactly are sub-atomic particles? A good question. Thank you. And to answer it, we first must ask ourselves: ""What is physics?"" Oh, balls. It's a warm summer evening in ancient Greece. Okay, I got a bone to pick with you."
2_406,2_406_u,1.0,"  Hi. Look um, about what happened earlier... No, hey, well, I-I completely understand. You were, you were stressed. I was gonna give you a chance to apologise to me. For what? For letting you throw me out of your office?"
1_S11E10_009,1_S11E10_009_u,0.0,"  This was a good idea. It's been a long time since we've had girls' night. Yeah, it's so nice to have a relaxing evening at home doing nothing. Yeah, really breaks up the other 30 days I've spent on bed rest doing nothing. Well, tonight we're gonna make you forget all that. You're gonna make me forget I've been stuck in bed while a baby uses my bladder as a kickball? (knocking) Hey, you had unprotected sex with Howard. You deserve to be miserable."
2_186,2_186_u,1.0,"  Enhh I've got canned goods. Hey, you guys! Take a look at this!  Check this baby out, dug me a hole! Excellent hole, Joe."
3_S01E04_356,3_S01E04_356_u,0.0,"  It's right here. Goddammit. - I've seen the video. - It's the wrong album, just give me a sec... You know what? Fuck it! You offering me a position on this board and reneging it is a perfect example of you having no vision, no balls and no game. Maybe he did blow him. Well, love and hate. It's all passion."
1_3842,1_3842_u,0.0,"  I've missed you. All right, say hello to your mother for me. Okay. What? You said you were going for a walk. I didn't say outside. So what, you're just gonna walk up and down the stairs?"
1_S11E07_220,1_S11E07_220_u,0.0,"  She just wants to keep things casual. Oh, great, that's how you're gonna screw it up. Hey, I can be casual. Mm-hmm. I should get a haircut; this thing's going south fast."
1_S11E05_186,1_S11E05_186_u,0.0,"  What did you do-- Are you a witch? No, I've been reading Bernadette's parenting book. It's like the answer key to the Sheldon test. That's amazing. I know. But, you know, it's only birth to five. What do we do when he turns six? Take him to the zoo and leave him there."
1_S10E05_079,1_S10E05_079_u,0.0,"  When you live with someone, there's gonna be conflict. You just have to keep communicating. I'm open to that. Okay. Well, for starters, there's nothing wrong with keeping our toothbrushes in the same holder."
2_339,2_339_u,0.0,"  I have a question. Umm, I used your pen to draw on my friend's face. A beard and a moustache. Thank you."
1_11529,1_11529_u,0.0,"  What exactly do you think goes on here? Well...
conversations that you wouldn't be comfortable having in front of the opposite sex. You know, who has the best cervix. Which sanitary napkin is all the rage right now. Men's buttocks, and how you want to pat and squeeze them. We were talking about Penny's job. And how difficult it is to do when she's bloated, cranky and crampy?"
1_S11E11_055,1_S11E11_055_u,0.0,"  You're a grown man; act like it. Big talk coming from a guy holding an Archie comic book. Hey, werewolf Jughead is not your dad's Jughead. Come on, you guys have been friends forever. Quit fighting. I have an extra ticket to the opening of The Last Jedi tonight. It was gonna be Howard's, but you can have it."
1_S12E04_055,1_S12E04_055_u,0.0,"  Hey, did you guys know that Sheldon had a best friend growing up named Tam? Was that the imaginary talking koala? No. He's a real person who apparently betrayed him. Yeah, so did the koala."
2_374,2_374_u,1.0,  Will you get me a white zinfandel and glass of red for Janice. Janice? Janice?
1_S11E01_100,1_S11E01_100_u,0.0,"  We're engaged. Oh, my God, that's amazing! Wait, uh, tell me everything. Well, Dr. Nowitzki was kissing me... Okay, you can stop leading with that part of the story."
1_S12E03_263,1_S12E03_263_u,0.0,"  Hey, Leonard, remember yesterday when we were talking about having kids someday? Yeah? Well, what if it wasn'’t someday. Oh, my God. Oh, my God, are you pregnant? No. No. No, no. No, no, no, no, no, no, no, no."
1_S12E06_229,1_S12E06_229_u,0.0,"  So, here we are. On Halloween. On this couch. Does it ring any bells? Really? We're still doing this?"
1_S11E05_402,1_S11E05_402_u,0.0,"  Hey, what are you working on? Oh, my God, you're still here?"
2_442,2_442_u,1.0,"  She is miserable. Just to keep me upto speed Dorothy, it is this negligent arson that prospect of spending the rest of her wiening years in jail thing right? No itÕs the rose in the kitchen thing."
1_6113,1_6113_u,0.0,"  Now I'm going out tonight. Would it be crazy to ask you to look at the outfit I'm going to wear? Oh, not crazy at all.
And don't beat yourself up. When I was your age, you could have me for a car ride and a bottle of strawberry wine. That will not be in this week's e-mail blast. So, this spring, I get to go to the International Space Station. Oh, my word, a trip to the heavens."
1_8717,1_8717_u,1.0,  Do you think Penny's mad at me? Because you're in the right lane behind a bus and you won't go around it? I'm sure she finds it charming.
1_S12E09_207,1_S12E09_207_u,0.0,"  Oh, gosh, my Russian's a little rusty. If it helps, this word may be ""moose."" Okay."
1_S09E12_184,1_S09E12_184_u,1.0,"  when you asked me to move in and help take care of your mom, I'd still be here two years later? - No one. - Nobody thought that. Well, that's it. I guess so. This is weird. (CHUCKLES) Yeah. A grown man moving into his own apartment. It's crazy times. See ya!"
1_S10E04_277,1_S10E04_277_u,0.0,"  This is ridiculous. The doctor knows what the baby is, the ultrasound tech knows, Raj knows, his Grey's Anatomy online fan group probably knows. Is it weird we don't? I don't know. Maybe the surprise will make it more fun. Like magic tricks. Remember how disappointed you were when I explained the never-ending hanky? I was disappointed to see the man I was engaged to pulling rainbow scarves out of his fly."
1_8078,1_8078_u,0.0,"  Rajesh!
You up?
You ready for breakfast? Oh, boy. Breakfast. Okay, Raj, listen to me.
You need to get out of there. But I have a cream sherry hangover and I smell blintzes. If you don't leave now, she'll use food and guilt to keep you there for the rest of your life. Oh, Howard, stop. Trust me, you're not Jewish. That's how they get you."
2_429,2_429_u,1.0,"  Ha-ha, it's not my baby, ha-ha-ha! Very good,  so good. I really, really enjoyed it. Very exotic."
2_9,2_9_u,1.0,"  Shall I set this down someplace? No Rose, go to the corner and open a stand"
1_S10E10_090,1_S10E10_090_u,0.0,"  can I live here? Stuart, we'd love to help you out, but this a bad time; we're about to have a baby. Or is that why this is a great time? Think about it-- when that baby comes, you're gonna need all the help you can get. Thank you, but I'm not really sure. Hang on, maybe it's not the worst idea. I mean, he did do a good job taking care of my mother."
1_S10E08_063,1_S10E08_063_u,1.0,"  I-I just found a wobble. Oh, do I need a mop? It's a gravitational wobble. It could be a sign of an extrasolar planet that may contain life and someday be named after me. Oh... well, if it has life, maybe it already has a name, huh? Yeah, but it's probably difficult to pronounce. What is your name? Rajesh Ramayan Koothrappali. You think it would be more difficult than that?"
1_S10E17_032,1_S10E17_032_u,1.0,"  Well, he has a job. How bad can it be? Well, his rent and car lease are exceedingly high. You couple that with his penchant for dining out and shopping... Wait, wait, not shopping for clothes, right? Because look."
1_5166,1_5166_u,1.0,"  but the driver didn't look at all like the photograph on his license, so I leapt out and ran for it. Wise. There you go. Just like recovering alcoholics drink in the Caribbean. Hi, bestie. Oh. Hi, Amy. How you been? Fine. From this angle, I can see up your nose. Yeah, it's a great time to be alive, isn't it?"
1_276,1_276_u,1.0,"  He switched over to high-energy radiation research, had a little mishap, and now the other guys are uncomfortable sitting next to him. You're in? Yeah, sure, why not? Great, we rehearse on Tuesdays at your place. Why at my place? Department of Energy said our regular space is kind of a hot zone. Nice meeting you. Yeah, you, too.
Leonard, I didn't know you played the cello. Yeah, my parents felt that naming me Leonard and putting me in Advanced Placement classes wasn't getting me beaten up enough."
2_51,2_51_u,0.0,"  That's the rule. What rule? There's no rule, if anything, you owe me a table! How'd you get to that? Well, I believe the piece of furniture was fine until your little breakfast adventure with Angela Delvecchio"
2_416,2_416_u,1.0,  Ok it was just me and her at the back of the train and I sat at the door so she had to pass by me if she like to switch cars. She was totally at my mercy. Were you so late because you were burying this woman?
2_492,2_492_u,1.0,"  You what the joke going around teacher's lounge was today Ma? Me I know this joke Everybody heard on the radio that some anonymous Ma was complaining that her dependent daughter Dorothy doesn't have a life of her own. What you think of the only grey head substitute teacher named Dorothy wasting her life away in Miami? I'm sorry Sophia, but in Dorothy's defence, it sure sounds a lot like her."
1_2119,1_2119_u,1.0,"  but wait to be captured or killed. That's the worst part, the waiting. All the while knowing that there's a paint pellet out there with your name on it. The big wet ball of death. Kind of makes you feel more alive, doesn't it?"
1_410,1_410_u,0.0,"  Do you really need the Honorary Justice League of American membership card? It's been in every wallet I've owned since I was five. Why? It says, ""Keep this on your person at all times."" It's right here under Batman's signature. and this is Leonard and Sheldon's apartment. Guess whose parents just got broadband. Leonard, may I present, live from New Delhi, Dr. and Mrs. V. M. Koothrappali."
1_1180,1_1180_u,1.0,"  Yeah, sure. I don't like bear claws. Hey, Penny. Dumbass. Leslie Winkle. Of all the overrated physicists in all the labs in all the world, why does it have to be Leslie Winkle? They have a lot in common. I mean, they're both scientists. Oh, please. The only way she could make a contribution to science would be if they resumed sending chimps into space."
1_S12E23_539,1_S12E23_539_u,1.0,"  Somebody just peed in the big girl potty.  Oh, I'm so proud! It was her, right?"
2_228,2_228_u,0.0,"  Hi Tag! Hey, so did you have fun with uh, with Joey last night? Oh yeah! We went to the Knicks game. Ohh that's nice. Then we went to this bar and he hooked us up with all these women!"
1_1549,1_1549_u,1.0,"  Will you at least stipulate that Star Trek IV: The Voyage Home is inarguably the best? I have three words for you: Wrath of Khan. Thank God, you're here. What's the emergency? I got the Mars Rover stuck in a ditch. Where? On a dusty highway just outside Bakersfield. Where do you think? On Mars!"
1_7953,1_7953_u,1.0,"  Hello. Uh, four glasses of water, please. Anything for you guys? Can I use your phone? 
Our car got stolen. Why don't you ask Scotty to beam you up?"
2_343,2_343_u,0.0,"  Whoa Let me start by uh, by introducing myself, I am Professor Geller. So to sum up, I'm Professor Geller."
2_127,2_127_u,0.0,"  Joe? Yeah! Uh, you've had a lot of sex right? When? Today? Some, not a lot."
1_3599,1_3599_u,0.0,"  That's a great idea. I'm going to get him to sign a Batman as well. What is it about the word ""unique"" you don't understand? Damn, paper cut. Nothing worse than a paper cut. Well, obviously you don't remember your circumcision. There's Neosporin and Band-Aids in my top desk drawer. Why don't you keep that stuff in the bathroom?"
2_495,2_495_u,0.0,"  No, yeah! The groom cannot see the bride! I'm not gonna marry Chandler! Not after this! Okay, you guys, just relax.  I doooo."
2_137,2_137_u,0.0,"  But if you do, make sure it seems like you're there to see him, okay? And you're not, like, doing it as a favor to me. Okay, but If he asks, I am not going to lie."
1_6769,1_6769_u,1.0,"  All right. I'm no stranger to a little gray matter. Locus coeruleus. Locus coeruleus. You're getting warmer-- it is, indeed, in the brain. Hope your hands are steady. It's the width of a single hair. But this is just biology, so I'm sure it's no problem for a genius like you."
1_7494,1_7494_u,0.0,"  Wow, so you guys are like buds now? Oh, yeah, we hang out all the time. Plus, he doesn't have a girlfriend, I don't have a girlfriend. It's like we both had these holes in our lives, but now we fill each other's holes. that sounds a little funny to an American ear."
1_S12E06_088,1_S12E06_088_u,1.0,  You're sitting in my spot. You don't have a spot. - What is wrong with you today? Maybe he's cranky because he's off his bathroom schedule.
1_7400,1_7400_u,0.0,"  There are some charts in the back where I kept track of shape, color and consistency. Disgusting. No, what's disgusting is he's still keeping track. Why do you need all this stuff...? No, no, no, no... Sorry! I am glad you asked. Yeah, are you familiar with the Higgs boson? Of course, it is... it's been in the news. And it's a very famous boson."
1_S11E10_432,1_S11E10_432_u,0.0,"  Wow. I never knew science could be so interesting. Hey, I talk to you about science all the time. Oh, you sure do, sweetie. Should we go congratulate him? I'll do better than that-- I'll give him constructive criticism. Here's some constructive criticism: don't. I'll catch up with you guys. Okay."
1_S10E14_056,1_S10E14_056_u,1.0,"  You know, I just read that a team at mit. Developed a device that helps people read human emotions. And you think we can get those guys to reprogram Sheldon? Cool."
2_240,2_240_u,0.0,"  Oh, unbelievable! We had the best time! Yay!! Oh so, you're not, you're not mad at us anymore? No! No!"
1_5058,1_5058_u,1.0,"  Yes, I live with him.
I don't... I-I really don't know why. Tonight? Sure, that'd be great. Okay, I'll see you then. Bye. She wants to have dinner and talk about my research. An entire dinner to talk about your research? Where you going, the drive-thru at Jack in the Box?"
2_188,2_188_u,0.0,"  I just saw Danny getting on the subway with a girl and he had his arm around her. Oh, honey, I'm sorry. Well, you should be, this is all your fault! You meddled in our relationship!! You had no relationship!!"
1_S09E14_455,1_S09E14_455_u,1.0,"  I always looked up to you and Pop-Pop. I-I know what a challenging man he could be, but I saw you stand by him and-and make him into a better person. I did. Yeah, well, that is exactly what I've been doing the last five years with this little work in progress. He never disappoints, does he?"
1_S12E11_216,1_S12E11_216_u,1.0,"  Everything okay? Yeah, it's just Anu's doorbell camera. I helped her install it. You can't look at it. That's spying. Who the hell is this guy? Ooh, let me see. He's got... bags. He's probably just delivering food. Why is she hugging him? Maybe she doesn't have tip money?"
1_S11E07_405,1_S11E07_405_u,0.0,"  I mean, Ruchi's nice. We're just so different. I know. Sometimes when you're dating, you meet weird people. I once met a girl who didn't like juggling. And she still doesn't."
1_S12E19_143,1_S12E19_143_u,1.0,"  This is so frustrating. I can't believe the university expects us to just sit back and do nothing. Sweetie, you just need to relax. You know what I like to do? Numb your brain with alcohol and watch a reality show where wealthy people pick fake arguments with each other?"
2_218,2_218_u,0.0,"  Have you seen Joey? What's the matter? Oh, just this!  Y'know what it's my fault really, because the couch is usually where we keep the varnish Hey, does somebody wanna hand me one of those tiles."
1_S12E23_389,1_S12E23_389_u,1.0,"  but you've changed a lot since I met you. Oh, you are a mean drunk. I'm serious. You have a ton of friends, you got married, moved into a new apartment, you wore a baseball hat that one time. Heck, you've had sex almost as many times as I have fingers."
2_180,2_180_u,0.0,"  Where's Chandler? Oh, he needed some time to grieve. I'm free! I'm free! That oughta do it."
2_204,2_204_u,1.0,"  What if you could keep the apartment and get the tickets. Done Let me finish, talking about a bet, winner takes all We could end up with nothing. Or you could end up with everything I like that! So what do you say? No Just do it! Oh Oh, I am convinced!"
1_S12E01_274,1_S12E01_274_u,0.0,"  TOUR GUIDE: And here we have the former hotel where Tesla perfected the three-phase alternating current motor. That's wrong. I'm gonna say something. Don't. Well, then how will everyone know I'm the smartest boy here? Just let it go."
2_569,2_569_u,0.0,"  Yeah! Now, why do you want to kill yourself? It's just that I uh, have been working for ten years now at this meaningless, dead-end job and nobody here even knows I exist! Chandler?"
1_5169,1_5169_u,0.0,"  Your flaring nostrils indicate otherwise. Cluck-cluck-cluck. Sheldon, look at me.
I think it's time to face the fact that Leonard is the nucleus of your social group.
Where he goes, the group goes. Leonard the nucleus? That makes no sense. I'm the whimsical elf that everyone looks to for a good time. I'm not saying that you're not fun. You're the most fun person I know."
1_S12E04_233,1_S12E04_233_u,0.0,"  - Oh, hey, Sheldon. - We just met... - Sheldon! So good to see you! Tam. It's been a long time. Mm, not long enough to erase the sting of betrayal. How did I betray you?"
1_S10E16_009,1_S10E16_009_u,1.0,"  Go! (Inhales deeply) Come on, raj! Leonard: You can do this! There's no way. What is happening? This is an euler's disk. It's a physics toy that demonstrates angular momentum, potential energy, and kinetic energy. Aw, look at you watching sports."
3_S03E03_511,3_S03E03_511_u,0.0,"  Just be in. Uh, Dinesh? All right, fuck it, I'm in... but on one condition. I'm going to need everyone to solemnly swear, that they will no longer make fun of my gold chain. Not a word ever again. Well, guys, I think we can agree to that. This plan better fucking work with a sacrifice like this."
1_S12E21_167,1_S12E21_167_u,1.0,"  Ugh, why is this decision so hard? Maybe because you want to win, but deep down you know it's not the honorable way to do it. Otherwise, you would've done it already. That's really wise. Yes, but it may just be the Indian accent."
3_S06E05_355,3_S06E05_355_u,1.0,"  -What? -Sorry. I just, um, I was quickly perusing your file-- That's not what peruse means. Peruse means to read thoroughly and carefully. Wow. That... that's... super helpful. Thank you for that tip. Um, anyway, yeah, I was just curious to know, like, what's it like growing up in Rhode Island? Well, maybe some time when you're working on something, I can come interrupt your flow and use words incorrectly to tell you about it."
1_S12E02_105,1_S12E02_105_u,1.0,"  What is wrong with Stuart's face? I think he's smiling. Oh, my God, are they flirting? Oh, they're way past flirting. I caught them making out at Sheldon's wedding. Are you sure she wasn't trying to breathe life back into him?"
2_36,2_36_u,0.0,"  Okay, well Ross, what is this really about? Look, this is my home and I want to be able to come and go whenever I want! Okay, I will find someplace else to do the rest of my appointments. I just don't know what the big deal is! The big deal is I don't want naked, greasy strangers in my apartment when I want to kick back with a puzzle,beer! Cold beer."
1_S12E02_204,1_S12E02_204_u,1.0,"  Oh, do tell. Now, paint a picture for me, like where you were when you found it and what you thought we'd enjoy doing with it. Do you not know what it is? Of course he knows what it is. He's the smartest man in the world."
1_7395,1_7395_u,1.0,"  You slept with him? I didn't know what else to do.
He had those big, sad eyes. Oh, sure, you had no choice. He looked at me like this. Well, if that's all it takes, it's a good thing you don't have a dog."
2_352,2_352_u,1.0,"  What are you seeing? Nightmare on Elm Street 4 Do you have to see 1, 2 and 3 to appreciate it? No Rose, it stands alone."
1_S09E03_120,1_S09E03_120_u,0.0,"  According to this Mexican Customs Web site, visitors may not bring more than five laser discs, 20 compact discs or 12 VHS tapes. We don't have any of those."
1_11913,1_11913_u,1.0,  I don't think I've eaten that much in my entire life. It's why my people wandered the desert for 40 years. Took that long to walk it off.
3_S04E06_526,3_S04E06_526_u,0.0,"  Guys, this is madness. I have nothing to hide. I hear you, and yet... I'd like to look at my phone. Sure. Suit yourself. Swipe. Mm-hmm. Unlock. Mmm. You sure you don't care? Does it look like I care?"
1_S11E03_006,1_S11E03_006_u,0.0,"  Hmm, some news of our wedding, I have sent you all a ""save the date"" e-mail. Oh, exciting. You guys picked a date? Better. I picked 80 dates. And I need you to save them all until we narrow it down. I thought we agreed on June 15."
1_S11E10_143,1_S11E10_143_u,0.0,"  I'm so sorry the interview didn't go well. Yeah, you would've been perfect for it. Oh, I just get so nervous, and then I start apologizing for being nervous, and... You guys don't want to hear about this. I'm sorry. Stop apologizing!"
1_S11E06_410,1_S11E06_410_u,1.0,"  Can you get us a little snack? You sure you don't want your spy to do it? What are you talking about? You really don't trust me? You had to have Amy stop by? We trust you. Yeah. You were a terrible waitress, and we still asked you to get us a snack."
2_245,2_245_u,0.0,"  Ooh, nice. So ah, there was this thing I wanted to talk to you about. Oh, right! I completely forgot about that. Well ah, I've been doing a lot of thinking, and I look at my life"
2_287,2_287_u,1.0,"  Oh wait stop! Stop! Stop! Oh I am sorry, do you need a break?"
1_S09E01_027,1_S09E01_027_u,1.0,"  So, what package are you thinking? Mm, this one comes with music and flowers. Oh, they even stream the whole thing live on the Internet. Why would we want that? Cause there's a lot of gorgeous blondes out there who don't believe they can land a short, nearsighted scientist. Let's give them hope. Whatever. Put us on the Internet. I've always wanted a wedding with a comment section."
1_7722,1_7722_u,1.0,"  (thermometer beeps) 102.2.
(coughs) Exactly what it was half an hour ago. It's like you're not even trying to get better."
1_S12E04_204,1_S12E04_204_u,0.0,"  - Tam Nguyen? - Yeah. Yes. Is my son done with his tour? No idea. We're actually friends of Sheldon Cooper. Oh, I've been trying to get in touch with him, but I never heard back. Is he okay?"
1_2797,1_2797_u,1.0,"  It's oatmeal day. Tell you what, next French toast day, I'll make you oatmeal. Dear Lord, are you still going to be here on French toast day? Morning. Look, Leonard, Penny made French toast. Sorry, I haven't given her your schedule yet. It's an iCal download. She can put it right in her phone."
1_S10E03_224,1_S10E03_224_u,0.0,"  Maybe we should break for lunch. What time is it? (moans twice) According to the world's worst cuckoo clock, it's 2:00. My head hurts and I'm more tired than ever."
2_30,2_30_u,0.0,  Yeah. He could row like a viking. Hi. So how'd it go?
1_S11E01_222,1_S11E01_222_u,0.0,"  Hey, Stuart. Oh, hey, Raj. What can I help you with? I need to buy an engagement gift. Well, you came to the wrong place."
1_2664,1_2664_u,0.0,"  I don't think I can go to the North Pole. I know you're concerned about disappointing me but I want you to take comfort from the knowledge that my expectations of you are very low. Yeah, that's very comforting. Comforting is a part of leadership.
It's not a part I care for, but such is my burden. Terrific, it's just that... I don't think Penny wants me to go."
2_113,2_113_u,1.0,"  The most unbelievable thing has happened. Underdog has gotten away. The baloon. No, no the actual cartoon character .. Of course the baloon."
3_S01E03_056,3_S01E03_056_u,1.0,"  I thought we were gonna replace the name ""Pied Piper."" I thought it was a place holder. ""Placeholder"" would honestly be a better name than Pied Piper."
1_2075,1_2075_u,0.0,"  Say what? That's basically what I just said. You brought your husband to work. You know the rules. Mesa thinking yousa looking pretty sad now too, betcha, betcha. Leonard, it's 1:00. Weren't you going to show me your laboratory at 1:00? There's no hurry. Tell them more about their secret love for each other."
1_S12E18_303,1_S12E18_303_u,1.0,"  - Hey, got a minute?  Sure. What's up? Uh, Bernadette said you weren't crazy about the book. No. (chuckles) It's great. I just don't want anyone to ever see it or read it or know it exists."
1_1931,1_1931_u,1.0,  Where are we going? You're driving me to the mall. I'm going to acquire a book that summarizes the current theories in the field of friend-making. Why don't you just lie down on the floor and swim there?
1_4031,1_4031_u,1.0,"  Happy now? I'm moving the dirty sock. Thank you. Raj, keep an eye out for the other one. Hey, guys, this is my friend Zack. Hey. Hello. Whoa! Is that the laser? It's bitchin'. Yes. In 1917, when Albert Einstein established the theoretic foundation for the laser in his paper <i>""Zur Quantentheorie der</i> <i>Strahlung,""</i> his fondest hope was that the resultant device be bitchin'."
1_12002,1_12002_u,0.0,"  It's not like I was invited to Richard Feynman's house and have anything better to do. Is this how the rest of the night's going to be? I don't know the future. Do you think there's a chance that an asteroid could hit the Earth, destroying Feynman's house and everyone in it? No, Sheldon. Then buckle up; you're in for a cranky night."
1_10890,1_10890_u,1.0,"  Robot girlfriend. Mm, that was mine. Robot prostitute. Also mine. Wait. I'm confused. 
Why would you need both a robot girlfriend and a robot prostitute? There's just some things you don't do with your robot girlfriend. Boy, when you met Bernadette, the field of robotics really took a hit."
1_S09E05_291,1_S09E05_291_u,0.0,"  I asked two women out today, and they both said no. I didn't know you were interested in dating. I've been told it's a good way to move on."
1_S09E03_135,1_S09E03_135_u,0.0,  I just wish Leonard would work up the courage to tell Sheldon he's moving in here. You guys still aren't living together?
